timeframe,strategy,trades,win_rate_pct,gross_pnl,fees,net_pnl,profit_factor,max_drawdown,status
5m,TrendFollowing,620,39.0,-4226.2,57415.53,-61641.73,0.98,76067.6,LOSS
5m,OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
5m,VWAPMeanReversion,17,47.1,114.4,1543.4,-1429.0,1.02,3313.67,LOSS
5m,VolatilityBreakout,120,38.3,-5684.4,10853.62,-16538.02,0.86,19086.64,LOSS
5m,DonchianBreakout,421,36.3,-24788.6,38994.04,-63782.64,0.89,79300.25,LOSS
5m,SuperTrend+RSI,919,34.2,-46414.6,84958.2,-131372.8,0.87,145236.97,LOSS
5m,UTBot,229,36.7,-11168.4,21291.74,-32460.14,0.87,34042.42,LOSS
5m,SqueezeMomentum,114,45.6,9999.0,10277.77,-278.77,1.31,8895.68,LOSS
5m,SMC_OrderBlocks,611,37.8,8537.4,56373.3,-47835.9,1.04,58098.46,LOSS
15m,TrendFollowing,288,42.0,-34037.4,26545.4,-60582.8,0.84,76717.8,LOSS
15m,OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
15m,VWAPMeanReversion,1,0.0,-2075.0,91.97,-2166.97,0.0,2166.97,LOSS
15m,VolatilityBreakout,68,42.6,-16613.6,6231.35,-22844.95,0.63,23766.48,LOSS
15m,DonchianBreakout,173,45.1,97.0,15944.7,-15847.7,1.0,46214.12,LOSS
15m,SuperTrend+RSI,404,44.1,-13323.8,37312.07,-50635.87,0.94,71169.97,LOSS
15m,UTBot,85,41.2,-11637.8,7834.08,-19471.88,0.78,23567.84,LOSS
15m,SqueezeMomentum,74,48.6,4068.2,6751.88,-2683.68,1.12,12233.25,LOSS
15m,SMC_OrderBlocks,212,43.9,-10335.6,19552.38,-29887.98,0.91,34247.37,LOSS
30m,TrendFollowing,166,44.0,-1533.6,15278.88,-16812.48,0.99,54522.48,LOSS
30m,OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
30m,VWAPMeanReversion,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
30m,VolatilityBreakout,21,23.8,-10116.0,1953.92,-12069.92,0.58,21253.03,LOSS
30m,DonchianBreakout,85,51.8,42366.4,7835.3,34531.1,1.47,20009.53,PROFITABLE
30m,SuperTrend+RSI,224,42.9,-9093.6,20655.59,-29749.19,0.96,62854.18,LOSS
30m,UTBot,44,36.4,-13583.4,4091.95,-17675.35,0.72,25384.25,LOSS
30m,SqueezeMomentum,23,39.1,4119.2,2131.03,1988.17,1.18,12882.79,PROFITABLE
30m,SMC_OrderBlocks,111,37.8,-18369.6,10221.66,-28591.26,0.82,41971.01,LOSS
1h,TrendFollowing,90,48.9,53641.4,8243.74,45397.66,1.38,18764.78,PROFITABLE
1h,OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
1h,VWAPMeanReversion,0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
1h,VolatilityBreakout,11,45.5,1330.4,1015.45,314.95,1.1,9760.27,PROFITABLE
1h,DonchianBreakout,47,53.2,32826.0,4314.43,28511.57,1.44,25722.86,PROFITABLE
1h,SuperTrend+RSI,128,47.7,15882.2,11765.75,4116.45,1.09,36197.17,PROFITABLE
1h,UTBot,25,56.0,13549.6,2328.11,11221.49,1.49,7434.81,PROFITABLE
1h,SqueezeMomentum,10,50.0,3882.6,943.17,2939.43,1.35,10831.56,PROFITABLE
1h,SMC_OrderBlocks,54,38.9,-39775.4,4977.36,-44752.76,0.57,62462.55,LOSS
