timeframe,session_filter,trades,win_rate_pct,gross_pnl_inr,fees_inr,net_pnl_inr,profit_factor,expectancy_inr,max_drawdown_inr,max_drawdown_pct,sharpe_ratio
5m,ALL_SESSIONS,218,36.7,4043.4,19527.33,-15483.93,1.05,-71.03,20825.47,10.35,-1.24
5m,MORNING_ONLY,71,33.8,-7431.0,6351.98,-13782.98,0.77,-194.13,18837.44,9.23,-3.39
5m,AFTERNOON_ONLY,73,28.77,-7234.2,6533.16,-13767.36,0.67,-188.59,15909.54,7.93,-4.96
5m,EVENING_ONLY,112,41.07,15710.6,10038.12,5672.48,1.44,50.65,7307.18,3.57,0.83
5m,AFTERNOON_EVENING,171,37.43,11074.4,15321.11,-4246.71,1.22,-24.83,12891.56,6.45,-0.46
15m,ALL_SESSIONS,76,47.37,3105.8,6798.92,-3693.12,1.07,-48.59,12395.11,5.99,-0.53
15m,MORNING_ONLY,30,33.33,-10107.2,2682.11,-12789.31,0.6,-426.31,18034.11,8.87,-4.32
15m,AFTERNOON_ONLY,27,37.04,-3427.6,2412.37,-5839.97,0.79,-216.3,6720.37,3.35,-2.86
15m,EVENING_ONLY,50,64.0,20464.6,4477.78,15986.82,2.31,319.74,4684.02,2.24,4.03
15m,AFTERNOON_EVENING,63,53.97,14837.0,5635.44,9201.56,1.57,146.06,7033.39,3.4,1.78
30m,ALL_SESSIONS,34,47.06,9686.6,3049.92,6636.68,1.29,195.2,18610.7,8.92,1.14
30m,MORNING_ONLY,17,35.29,-6608.2,1523.76,-8131.96,0.72,-478.35,17053.9,8.53,-2.66
30m,AFTERNOON_ONLY,18,33.33,-3346.2,1606.97,-4953.17,0.81,-275.18,12236.6,6.06,-2.14
30m,EVENING_ONLY,28,60.71,22890.8,2509.15,20381.65,2.43,727.92,9135.2,4.24,5.3
30m,AFTERNOON_EVENING,34,47.06,15906.6,3042.09,12864.51,1.64,378.37,10377.02,4.99,2.63
1h,ALL_SESSIONS,15,40.0,-4319.2,1339.03,-5658.23,0.82,-377.22,12910.86,6.46,-1.59
1h,MORNING_ONLY,12,16.67,-21142.4,1076.43,-22218.83,0.15,-1851.57,24241.8,12.05,-16.47
1h,AFTERNOON_ONLY,12,25.0,-12652.0,1073.33,-13725.33,0.37,-1143.78,17959.74,8.98,-7.09
1h,EVENING_ONLY,11,54.55,7742.8,983.73,6759.07,1.64,614.46,8402.7,4.11,2.49
1h,AFTERNOON_EVENING,14,42.86,1319.8,1249.75,70.05,1.07,5.0,8716.66,4.35,0.02
