trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,lots,gross_pnl_inr,fees_inr,net_pnl_inr,pnl_pct,pnl_points,slippage_cost_inr,exit_reason,hold_bars,hold_minutes,session,strategies_fired,lead_strategy,votes,mfe_pts,mae_pts
T0001,SILVERMIC,SELL,2026-08-13T19:30:00+05:30,2026-08-14T09:30:00+05:30,242909.0,240323.0,1,1,2586.0,88.84,2497.16,1.06,2586.0,2.0,TARGET_HIT,9,270.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,2713.0,508.0
T0002,SILVERMIC,BUY,2026-08-14T17:30:00+05:30,2026-08-14T22:00:00+05:30,242911.0,243182.2,1,1,271.2,89.01,182.19,0.11,271.2,2.0,SL_HIT,9,270.0,EVENING,TrendFollowing+SuperTrend+RSI,TrendFollowing,2,2056.0,411.0
T0003,SILVERMIC,BUY,2026-08-14T22:30:00+05:30,2026-08-17T18:00:00+05:30,243775.0,244032.2,1,1,257.2,89.14,168.06,0.11,257.2,2.0,SL_HIT,20,600.0,EVENING,TrendFollowing+SuperTrend+RSI,TrendFollowing,2,2195.0,575.0
T0004,SILVERMIC,SELL,2026-08-17T19:00:00+05:30,2026-08-17T19:00:00+05:30,244003.0,244893.0,1,1,-890.0,89.2,-979.2,-0.36,-890.0,2.0,SL_HIT,0,0.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,20.0,1097.0
T0005,SILVERMIC,BUY,2026-08-17T19:30:00+05:30,2026-08-18T09:00:00+05:30,244887.0,243953.0,1,1,-934.0,89.2,-1023.2,-0.38,-934.0,2.0,SL_HIT,8,240.0,EVENING,UTBot,UTBot,1,1219.0,1887.0
T0006,SILVERMIC,SELL,2026-08-18T17:30:00+05:30,2026-08-18T20:00:00+05:30,243233.0,241819.0,1,1,1414.0,88.96,1325.04,0.58,1414.0,2.0,TARGET_HIT,5,150.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,2090.0,324.0
T0007,SILVERMIC,SELL,2026-08-18T20:30:00+05:30,2026-08-18T23:30:00+05:30,241230.0,240346.0,1,1,884.0,88.63,795.37,0.37,884.0,2.0,EOD_SQUAREOFF,6,180.0,EVENING,TrendFollowing+DonchianBreakout+SuperTrend+RSI+SqueezeMomentum,DonchianBreakout,4,1630.0,407.0
T0008,SILVERMIC,BUY,2026-08-19T18:30:00+05:30,2026-08-20T09:00:00+05:30,242449.0,246826.0,1,1,4377.0,89.43,4287.57,1.81,4377.0,2.0,TARGET_HIT,10,300.0,EVENING,TrendFollowing+DonchianBreakout+SuperTrend+RSI,DonchianBreakout,3,5910.0,726.0
T0009,SILVERMIC,BUY,2026-08-20T18:30:00+05:30,2026-08-20T19:00:00+05:30,246686.0,246977.4,1,1,291.4,89.64,201.76,0.12,291.4,2.0,SL_HIT,1,30.0,EVENING,UTBot,UTBot,1,2310.0,190.0
T0010,SILVERMIC,BUY,2026-08-20T19:30:00+05:30,2026-08-20T20:00:00+05:30,248102.0,251054.0,1,1,2952.0,90.23,2861.77,1.19,2952.0,2.0,TARGET_HIT,1,30.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,3566.0,1.0
T0011,SILVERMIC,BUY,2026-08-20T20:30:00+05:30,2026-08-21T23:30:00+05:30,251505.0,255099.0,1,1,3594.0,90.9,3503.1,1.43,3594.0,2.0,EOD_SQUAREOFF,35,1050.0,EVENING,TrendFollowing+DonchianBreakout,DonchianBreakout,2,4924.0,894.0
T0012,SILVERMIC,BUY,2026-08-24T17:30:00+05:30,2026-08-24T21:00:00+05:30,255772.0,254613.0,1,1,-1159.0,91.03,-1250.03,-0.45,-1159.0,2.0,SL_HIT,7,210.0,EVENING,SuperTrend+RSI+UTBot+SqueezeMomentum,SqueezeMomentum,3,1657.0,1721.0
T0013,SILVERMIC,SELL,2026-08-24T21:30:00+05:30,2026-08-25T09:00:00+05:30,254360.0,251354.0,1,1,3006.0,90.8,2915.2,1.18,3006.0,2.0,TARGET_HIT,4,120.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,3435.0,730.0
T0014,SILVERMIC,SELL,2026-08-25T17:30:00+05:30,2026-08-25T23:00:00+05:30,251755.0,253297.0,1,1,-1542.0,90.57,-1632.57,-0.61,-1542.0,2.0,SL_HIT,11,330.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,2010.0,1545.0
T0015,SILVERMIC,BUY,2026-08-26T18:00:00+05:30,2026-08-26T18:00:00+05:30,253501.0,252174.0,1,1,-1327.0,90.62,-1417.62,-0.52,-1327.0,2.0,SL_HIT,0,0.0,EVENING,UTBot,UTBot,1,179.0,1682.0
T0016,SILVERMIC,SELL,2026-08-26T18:30:00+05:30,2026-08-26T23:00:00+05:30,251919.0,248925.0,1,1,2994.0,90.37,2903.63,1.19,2994.0,2.0,TARGET_HIT,9,270.0,EVENING,TrendFollowing+SuperTrend+RSI+UTBot,SuperTrend+RSI,3,4314.0,403.0
T0017,SILVERMIC,SELL,2026-08-27T17:30:00+05:30,2026-08-27T21:00:00+05:30,248238.0,249521.0,1,1,-1283.0,89.93,-1372.93,-0.52,-1283.0,2.0,SL_HIT,7,210.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,1424.0,2171.0
T0018,SILVERMIC,BUY,2026-08-27T21:30:00+05:30,2026-08-28T09:00:00+05:30,250386.0,248695.0,1,1,-1691.0,90.04,-1781.04,-0.68,-1691.0,2.0,SL_HIT,4,120.0,EVENING,VolatilityBreakout+DonchianBreakout+SuperTrend+RSI,VolatilityBreakout,3,413.0,2586.0
T0019,SILVERMIC,BUY,2026-08-28T17:30:00+05:30,2026-08-28T19:30:00+05:30,252334.0,250789.0,1,1,-1545.0,90.39,-1635.39,-0.61,-1545.0,2.0,SL_HIT,4,120.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,2083.0,3899.0
T0020,SILVERMIC,SELL,2026-08-28T20:00:00+05:30,2026-08-28T20:00:00+05:30,249323.0,251308.0,1,1,-1985.0,90.15,-2075.15,-0.8,-1985.0,2.0,SL_HIT,0,0.0,EVENING,SuperTrend+RSI+UTBot,SuperTrend+RSI,2,24.0,2177.0
T0021,SILVERMIC,BUY,2026-08-28T20:30:00+05:30,2026-08-28T21:00:00+05:30,251219.0,249185.0,1,1,-2034.0,90.13,-2124.13,-0.81,-2034.0,2.0,SL_HIT,1,30.0,EVENING,UTBot,UTBot,1,281.0,3376.0
T0022,SILVERMIC,SELL,2026-08-28T21:30:00+05:30,2026-08-31T09:00:00+05:30,247910.0,242676.0,1,1,5234.0,89.57,5144.43,2.11,5234.0,2.0,TARGET_HIT,4,120.0,EVENING,TrendFollowing+SuperTrend+RSI+UTBot,TrendFollowing,3,7110.0,444.0
T0023,SILVERMIC,SELL,2026-08-31T17:30:00+05:30,2026-08-31T19:00:00+05:30,244262.0,241900.0,1,1,2362.0,89.1,2272.9,0.97,2362.0,2.0,TARGET_HIT,3,90.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,2622.0,288.0
T0024,SILVERMIC,SELL,2026-08-31T19:30:00+05:30,2026-09-01T09:00:00+05:30,242049.0,243704.0,1,1,-1655.0,88.88,-1743.88,-0.68,-1655.0,2.0,SL_HIT,8,240.0,EVENING,TrendFollowing+SuperTrend+RSI,TrendFollowing,2,597.0,1851.0
T0025,SILVERMIC,SELL,2026-09-01T17:30:00+05:30,2026-09-02T09:00:00+05:30,238499.0,234972.0,1,1,3527.0,88.03,3438.97,1.48,3527.0,2.0,TARGET_HIT,12,360.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,4774.0,976.0
T0026,SILVERMIC,BUY,2026-09-02T18:00:00+05:30,2026-09-03T09:00:00+05:30,237797.0,240322.0,1,1,2525.0,88.4,2436.6,1.06,2525.0,2.0,TARGET_HIT,11,330.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,3133.0,1299.0
T0027,SILVERMIC,BUY,2026-09-03T17:30:00+05:30,2026-09-03T20:30:00+05:30,240166.0,242479.0,1,1,2313.0,88.78,2224.22,0.96,2313.0,2.0,TARGET_HIT,6,180.0,EVENING,SuperTrend+RSI,SuperTrend+RSI,1,3834.0,452.0
T0028,SILVERMIC,BUY,2026-09-03T21:00:00+05:30,2026-09-03T23:30:00+05:30,243951.0,244299.0,1,1,348.0,89.18,258.82,0.14,348.0,2.0,EOD_SQUAREOFF,5,150.0,EVENING,TrendFollowing+DonchianBreakout,DonchianBreakout,2,433.0,901.0
