contract,expiry,start_date,end_date,trading_days,trades,winning_trades,losing_trades,win_rate_pct,gross_pnl_inr,fees_inr,net_pnl_inr,profit_factor,expectancy_inr,max_drawdown_inr,sample_warning,strategy
SILVERMIC-30APR2026-FUT,2026-04-30,2026-02-19,2026-04-25,39,38,14,24,36.84,-640.0,3564.46,-4204.46,0.99,-110.64,45252.24,LOW SAMPLE (30-99 trades),TrendFollowing
SILVERMIC-30JUN2026-FUT,2026-06-30,2026-04-21,2026-06-25,48,45,18,27,40.0,35792.0,4217.65,31574.35,1.7,701.65,15400.83,LOW SAMPLE (30-99 trades),TrendFollowing
SILVERMIC-31AUG2026-FUT,2026-08-31,2026-06-22,2026-08-26,48,48,22,26,45.83,37124.0,4212.01,32911.99,2.03,685.67,8467.6,LOW SAMPLE (30-99 trades),TrendFollowing
SILVERMIC-30APR2026-FUT,2026-04-30,2026-02-19,2026-04-25,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades),OpeningRangeBreakout
SILVERMIC-30JUN2026-FUT,2026-06-30,2026-04-21,2026-06-25,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades),OpeningRangeBreakout
SILVERMIC-31AUG2026-FUT,2026-08-31,2026-06-22,2026-08-26,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades),OpeningRangeBreakout
SILVERMIC-30APR2026-FUT,2026-04-30,2026-02-19,2026-04-25,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades),VWAPMeanReversion
SILVERMIC-30JUN2026-FUT,2026-06-30,2026-04-21,2026-06-25,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades),VWAPMeanReversion
SILVERMIC-31AUG2026-FUT,2026-08-31,2026-06-22,2026-08-26,48,1,0,1,0.0,-2197.0,86.48,-2283.48,0.0,-2283.48,2283.48,VERY LOW SAMPLE (<30 trades),VWAPMeanReversion
SILVERMIC-30APR2026-FUT,2026-04-30,2026-02-19,2026-04-25,39,3,1,2,33.33,-10235.0,279.28,-10514.28,0.24,-3504.76,10514.28,VERY LOW SAMPLE (<30 trades),VolatilityBreakout
SILVERMIC-30JUN2026-FUT,2026-06-30,2026-04-21,2026-06-25,48,4,1,3,25.0,-2576.0,383.21,-2959.21,0.67,-739.8,8043.1,VERY LOW SAMPLE (<30 trades),VolatilityBreakout
SILVERMIC-31AUG2026-FUT,2026-08-31,2026-06-22,2026-08-26,48,5,0,5,0.0,-11554.0,448.39,-12002.39,0.0,-2400.48,12002.39,VERY LOW SAMPLE (<30 trades),VolatilityBreakout
SILVERMIC-30APR2026-FUT,2026-04-30,2026-02-19,2026-04-25,39,13,4,9,30.77,-20435.0,1221.07,-21656.07,0.63,-1665.85,34673.15,VERY LOW SAMPLE (<30 trades),DonchianBreakout
SILVERMIC-30JUN2026-FUT,2026-06-30,2026-04-21,2026-06-25,48,18,7,11,38.89,16405.0,1698.12,14706.88,1.4,817.05,16075.37,VERY LOW SAMPLE (<30 trades),DonchianBreakout
SILVERMIC-31AUG2026-FUT,2026-08-31,2026-06-22,2026-08-26,48,20,11,9,55.0,39193.0,1762.44,37430.56,2.9,1871.53,6611.61,VERY LOW SAMPLE (<30 trades),DonchianBreakout
