strategy,cost_multiplier,gross_pnl_inr,simulated_costs_inr,net_pnl_inr,profit_factor,survives
TrendFollowing,1.00x,-888.0,8940.34,-9828.34,0.69,NO
OpeningRangeBreakout,1.00x,-1190.0,1162.72,-2352.72,0.55,NO
VWAPMeanReversion,1.00x,-338.0,88.22,-426.22,0.0,NO
VolatilityBreakout,1.00x,-4161.0,2678.37,-6839.37,0.29,NO
DonchianBreakout,1.00x,2071.0,4024.92,-1953.92,0.89,NO
TrendFollowing,1.25x,-888.0,11175.42,-12063.42,0.65,NO
OpeningRangeBreakout,1.25x,-1190.0,1453.4,-2643.4,0.52,NO
VWAPMeanReversion,1.25x,-338.0,110.28,-448.28,0.0,NO
VolatilityBreakout,1.25x,-4161.0,3347.96,-7508.96,0.27,NO
DonchianBreakout,1.25x,2071.0,5031.15,-2960.15,0.84,NO
TrendFollowing,1.50x,-888.0,13410.51,-14298.51,0.61,NO
OpeningRangeBreakout,1.50x,-1190.0,1744.08,-2934.08,0.5,NO
VWAPMeanReversion,1.50x,-338.0,132.33,-470.33,0.0,NO
VolatilityBreakout,1.50x,-4161.0,4017.55,-8178.55,0.25,NO
DonchianBreakout,1.50x,2071.0,6037.38,-3966.38,0.8,NO
TrendFollowing,2.00x,-888.0,17880.68,-18768.68,0.54,NO
OpeningRangeBreakout,2.00x,-1190.0,2325.44,-3515.44,0.45,NO
VWAPMeanReversion,2.00x,-338.0,176.44,-514.44,0.0,NO
VolatilityBreakout,2.00x,-4161.0,5356.74,-9517.74,0.22,NO
DonchianBreakout,2.00x,2071.0,8049.84,-5978.84,0.73,NO
