strategy,slippage_ticks,total_trades,net_pnl_inr,profit_factor,expectancy_inr,max_drawdown_inr
TrendFollowing,0,100,-9628.34,0.7,-96.28,9984.42
TrendFollowing,1,100,-9828.34,0.69,-98.28,9984.42
TrendFollowing,2,100,-10028.34,0.69,-100.28,9984.42
TrendFollowing,3,100,-10228.34,0.68,-102.28,9984.42
TrendFollowing,5,100,-10628.34,0.67,-106.28,9984.42
OpeningRangeBreakout,0,13,-2326.72,0.55,-178.98,3292.19
OpeningRangeBreakout,1,13,-2352.72,0.55,-180.98,3292.19
OpeningRangeBreakout,2,13,-2378.72,0.55,-182.98,3292.19
OpeningRangeBreakout,3,13,-2404.72,0.54,-184.98,3292.19
OpeningRangeBreakout,5,13,-2456.72,0.54,-188.98,3292.19
VWAPMeanReversion,0,1,-424.22,0.0,-424.22,426.22
VWAPMeanReversion,1,1,-426.22,0.0,-426.22,426.22
VWAPMeanReversion,2,1,-428.22,0.0,-428.22,426.22
VWAPMeanReversion,3,1,-430.22,0.0,-430.22,426.22
VWAPMeanReversion,5,1,-434.22,0.0,-434.22,426.22
VolatilityBreakout,0,30,-6779.37,0.29,-225.98,8020.78
VolatilityBreakout,1,30,-6839.37,0.29,-227.98,8020.78
VolatilityBreakout,2,30,-6899.37,0.28,-229.98,8020.78
VolatilityBreakout,3,30,-6959.37,0.28,-231.98,8020.78
VolatilityBreakout,5,30,-7079.37,0.28,-235.98,8020.78
DonchianBreakout,0,45,-1863.92,0.89,-41.42,5706.31
DonchianBreakout,1,45,-1953.92,0.89,-43.42,5706.31
DonchianBreakout,2,45,-2043.92,0.89,-45.42,5706.31
DonchianBreakout,3,45,-2133.92,0.88,-47.42,5706.31
DonchianBreakout,5,45,-2313.92,0.87,-51.42,5706.31
