trades,win_rate_pct,net_pnl_inr,profit_factor,expectancy_inr,strategy,time_bucket
17,41.2,376.17,1.43,22.13,TrendFollowing,11:00-14:00 (European Pre-Market)
20,20.0,-4711.98,0.38,-235.6,TrendFollowing,14:00-17:00 (European Active)
25,24.0,-7454.9,0.48,-298.2,TrendFollowing,17:00-20:00 (US Opening Overlap)
25,48.0,7107.74,5.74,284.31,TrendFollowing,20:00-23:30 (US Main Session)
13,15.4,-5145.37,0.13,-395.8,TrendFollowing,09:00-11:00 (Opening Discovery)
6,33.3,-1687.09,0.38,-281.18,OpeningRangeBreakout,09:00-11:00 (Opening Discovery)
7,42.9,-665.63,0.99,-95.09,OpeningRangeBreakout,11:00-14:00 (European Pre-Market)
1,0.0,-426.22,0.0,-426.22,VWAPMeanReversion,20:00-23:30 (US Main Session)
10,10.0,-2783.89,0.12,-278.39,VolatilityBreakout,17:00-20:00 (US Opening Overlap)
7,14.3,-2149.03,0.1,-307.0,VolatilityBreakout,11:00-14:00 (European Pre-Market)
5,20.0,-334.21,1.12,-66.84,VolatilityBreakout,14:00-17:00 (European Active)
6,33.3,-583.43,0.97,-97.24,VolatilityBreakout,20:00-23:30 (US Main Session)
2,0.0,-988.81,0.0,-494.4,VolatilityBreakout,09:00-11:00 (Opening Discovery)
12,50.0,322.38,1.32,26.86,DonchianBreakout,11:00-14:00 (European Pre-Market)
8,25.0,-1201.7,0.87,-150.21,DonchianBreakout,17:00-20:00 (US Opening Overlap)
13,53.8,2838.25,2.8,218.33,DonchianBreakout,20:00-23:30 (US Main Session)
8,25.0,-2744.18,0.46,-343.02,DonchianBreakout,14:00-17:00 (European Active)
4,25.0,-1168.67,0.24,-292.17,DonchianBreakout,09:00-11:00 (Opening Discovery)
