strategy,timeframe,candles,trades,win_rate_pct,gross_pnl_inr,total_costs_inr,net_pnl_inr,profit_factor,expectancy_inr,max_drawdown_inr,sample_warning
TrendFollowing,5m,1500,100,31.0,-888.0,8940.34,-9828.34,0.97,-98.28,9984.42,MODERATE SAMPLE (100-299 trades)
OpeningRangeBreakout,5m,1500,13,38.46,-1190.0,1162.72,-2352.72,0.74,-180.98,3292.19,VERY LOW SAMPLE (<30 trades)
VWAPMeanReversion,5m,1500,1,0.0,-338.0,88.22,-426.22,0.0,-426.22,426.22,VERY LOW SAMPLE (<30 trades)
VolatilityBreakout,5m,1500,30,16.67,-4161.0,2678.37,-6839.37,0.43,-227.98,8020.78,LOW SAMPLE (30-99 trades)
DonchianBreakout,5m,1500,45,40.0,2071.0,4024.92,-1953.92,1.14,-43.42,5706.31,LOW SAMPLE (30-99 trades)
TrendFollowing,15m,502,26,46.15,10046.0,2324.36,7721.64,2.12,296.99,4656.45,VERY LOW SAMPLE (<30 trades)
OpeningRangeBreakout,15m,502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VWAPMeanReversion,15m,502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VolatilityBreakout,15m,502,12,41.67,-1012.0,1070.6,-2082.6,0.81,-173.55,3631.89,VERY LOW SAMPLE (<30 trades)
DonchianBreakout,15m,502,14,35.71,2882.0,1250.32,1631.68,1.28,116.55,3029.08,VERY LOW SAMPLE (<30 trades)
TrendFollowing,30m,252,14,42.86,9519.0,1247.5,8271.5,2.23,590.82,6339.83,VERY LOW SAMPLE (<30 trades)
OpeningRangeBreakout,30m,252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VWAPMeanReversion,30m,252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VolatilityBreakout,30m,252,3,33.33,-1422.0,268.86,-1690.86,0.28,-563.62,1781.04,VERY LOW SAMPLE (<30 trades)
DonchianBreakout,30m,252,6,50.0,-98.0,536.1,-634.1,0.98,-105.68,4388.84,VERY LOW SAMPLE (<30 trades)
TrendFollowing,1h,131,4,75.0,1336.0,356.53,979.47,1.55,244.87,2539.46,VERY LOW SAMPLE (<30 trades)
OpeningRangeBreakout,1h,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VWAPMeanReversion,1h,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
VolatilityBreakout,1h,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERY LOW SAMPLE (<30 trades)
DonchianBreakout,1h,131,2,50.0,2419.0,178.99,2240.01,1210.5,1120.0,92.42,VERY LOW SAMPLE (<30 trades)
