window,train_start,train_end,test_start,test_end,train_net_pnl,train_profit_factor,test_net_pnl,test_profit_factor,test_trades,test_win_rate,strategy
1,2026-08-24 22:40:00+05:30,2026-08-26 22:45:00+05:30,2026-08-26 22:50:00+05:30,2026-08-27 20:45:00+05:30,-2902.59,0.69,-3218.26,0.0,5,0.0,TrendFollowing
2,2026-08-27 20:50:00+05:30,2026-08-31 20:55:00+05:30,2026-08-31 21:00:00+05:30,2026-09-01 18:55:00+05:30,1193.51,1.55,1391.17,3.44,3,66.67,TrendFollowing
3,2026-09-01 19:00:00+05:30,2026-09-03 19:05:00+05:30,2026-09-03 19:10:00+05:30,2026-09-04 17:00:00+05:30,-2353.51,0.87,-1943.52,0.1,7,14.29,TrendFollowing
1,2026-08-24 22:40:00+05:30,2026-08-26 22:45:00+05:30,2026-08-26 22:50:00+05:30,2026-08-27 20:45:00+05:30,0.0,0.0,0.0,0.0,0,0.0,OpeningRangeBreakout
2,2026-08-27 20:50:00+05:30,2026-08-31 20:55:00+05:30,2026-08-31 21:00:00+05:30,2026-09-01 18:55:00+05:30,487.48,1.82,-2959.45,0.0,5,0.0,OpeningRangeBreakout
3,2026-09-01 19:00:00+05:30,2026-09-03 19:05:00+05:30,2026-09-03 19:10:00+05:30,2026-09-04 17:00:00+05:30,-757.19,0.0,-226.79,0.0,1,0.0,OpeningRangeBreakout
1,2026-08-24 22:40:00+05:30,2026-08-26 22:45:00+05:30,2026-08-26 22:50:00+05:30,2026-08-27 20:45:00+05:30,0.0,0.0,0.0,0.0,0,0.0,VWAPMeanReversion
2,2026-08-27 20:50:00+05:30,2026-08-31 20:55:00+05:30,2026-08-31 21:00:00+05:30,2026-09-01 18:55:00+05:30,0.0,0.0,0.0,0.0,0,0.0,VWAPMeanReversion
3,2026-09-01 19:00:00+05:30,2026-09-03 19:05:00+05:30,2026-09-03 19:10:00+05:30,2026-09-04 17:00:00+05:30,-426.22,0.0,0.0,0.0,0,0.0,VWAPMeanReversion
1,2026-08-24 22:40:00+05:30,2026-08-26 22:45:00+05:30,2026-08-26 22:50:00+05:30,2026-08-27 20:45:00+05:30,-1185.32,0.39,-247.78,0.0,1,0.0,VolatilityBreakout
2,2026-08-27 20:50:00+05:30,2026-08-31 20:55:00+05:30,2026-08-31 21:00:00+05:30,2026-09-01 18:55:00+05:30,-2391.16,0.0,-648.07,0.0,2,0.0,VolatilityBreakout
3,2026-09-01 19:00:00+05:30,2026-09-03 19:05:00+05:30,2026-09-03 19:10:00+05:30,2026-09-04 17:00:00+05:30,-1470.63,0.66,-387.78,0.0,1,0.0,VolatilityBreakout
1,2026-08-24 22:40:00+05:30,2026-08-26 22:45:00+05:30,2026-08-26 22:50:00+05:30,2026-08-27 20:45:00+05:30,-3467.85,0.51,-417.9,0.0,1,0.0,DonchianBreakout
2,2026-08-27 20:50:00+05:30,2026-08-31 20:55:00+05:30,2026-08-31 21:00:00+05:30,2026-09-01 18:55:00+05:30,2059.71,1.76,-1168.52,0.42,3,33.33,DonchianBreakout
3,2026-09-01 19:00:00+05:30,2026-09-03 19:05:00+05:30,2026-09-03 19:10:00+05:30,2026-09-04 17:00:00+05:30,-1371.76,0.79,-370.56,0.96,4,25.0,DonchianBreakout
