strategy,trades,win_rate_pct,gross_pnl,fees,net_pnl,profit_factor,contribution_pct
TrendFollowing,55,50.9,29166.4,5017.13,24149.27,1.35,154.0
OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0
VWAPMeanReversion,0,0.0,0.0,0.0,0.0,0.0,0.0
VolatilityBreakout,6,83.3,12461.4,563.76,11897.64,7.36,75.9
DonchianBreakout,29,62.1,42510.8,2668.7,39842.1,2.1,254.1
BBMeanReversion,6,50.0,-659.0,540.76,-1199.76,0.9,-7.7
MACrossover,8,37.5,5565.0,721.3,4843.7,1.46,30.9
RSIDivergence,1,0.0,-5821.0,88.3,-5909.3,0.0,-37.7
MomentumVolumeBreakout,26,69.2,53496.8,2394.02,51102.78,2.95,326.0
GoldSilverPairs,15,66.7,24354.0,1371.06,22982.94,2.31,146.6
OrderFlowDelta,28,46.4,21755.8,2558.29,19197.51,1.47,122.5
TimeOfDaySeasonality,23,34.8,-21745.6,2109.99,-23855.59,0.5,-152.2
RSI2MeanReversion,14,57.1,20221.0,1317.66,18903.34,2.19,120.6
CalendarSeasonality,15,33.3,-7109.4,1397.22,-8506.62,0.68,-54.3
TermStructure,34,55.9,7890.6,3091.58,4799.02,1.18,30.6
SuperTrend+RSI,82,52.4,46075.8,7548.88,38526.92,1.43,245.8
UTBot,10,70.0,9445.8,925.24,8520.56,2.21,54.4
SqueezeMomentum,2,50.0,-1252.6,189.61,-1442.21,0.31,-9.2
SMC_OrderBlocks,27,55.6,12387.8,2497.63,9890.17,1.38,63.1
