strategy,trades,win_rate_pct,gross_pnl,fees,net_pnl,profit_factor,expectancy,max_drawdown,status
TrendFollowing,90,48.9,53641.4,8243.74,45397.66,1.38,504.42,18764.78,PROFITABLE
OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
VWAPMeanReversion,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
VolatilityBreakout,11,45.5,1330.4,1015.45,314.95,1.1,28.63,9760.27,PROFITABLE
DonchianBreakout,47,53.2,32826.0,4314.43,28511.57,1.44,606.63,25722.86,PROFITABLE
BBMeanReversion,11,27.3,-6376.4,999.43,-7375.83,0.46,-670.53,10728.67,LOSS
MACrossover,29,37.9,-1312.6,2674.32,-3986.92,0.97,-137.48,22043.66,LOSS
RSIDivergence,11,36.4,-33091.8,1003.52,-34095.32,0.23,-3099.57,38348.41,LOSS
MomentumVolumeBreakout,48,56.2,27954.4,4411.54,23542.86,1.51,490.48,11245.29,PROFITABLE
GoldSilverPairs,33,30.3,-26922.4,3032.59,-29954.99,0.67,-907.73,36319.94,LOSS
OrderFlowDelta,56,44.6,3334.2,5116.54,-1782.34,1.04,-31.83,29077.63,LOSS
TimeOfDaySeasonality,47,44.7,4314.6,4351.06,-36.46,1.06,-0.78,28816.95,LOSS
RSI2MeanReversion,43,41.9,2517.8,3980.55,-1462.75,1.04,-34.02,17376.77,LOSS
CalendarSeasonality,15,46.7,-2792.4,1397.73,-4190.13,0.86,-279.34,16455.55,LOSS
TermStructure,77,45.5,2157.6,7028.52,-4870.92,1.02,-63.26,24538.67,LOSS
SuperTrend+RSI,128,47.7,15882.2,11765.75,4116.45,1.09,32.16,36197.17,PROFITABLE
UTBot,25,56.0,13549.6,2328.11,11221.49,1.49,448.86,7434.81,PROFITABLE
SqueezeMomentum,10,50.0,3882.6,943.17,2939.43,1.35,293.94,10831.56,PROFITABLE
SMC_OrderBlocks,54,38.9,-39775.4,4977.36,-44752.76,0.57,-828.75,62462.55,LOSS
