strategy,trades,win_rate_pct,gross_pnl,fees,net_pnl,profit_factor,expectancy,max_drawdown,status
TrendFollowing,166,44.0,-1533.6,15278.88,-16812.48,0.99,-101.28,54522.48,LOSS
OpeningRangeBreakout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_TRADES
VWAPMeanReversion,2,50.0,432.0,189.08,242.92,1.29,121.46,1592.72,PROFITABLE
VolatilityBreakout,21,23.8,-10116.0,1953.92,-12069.92,0.58,-574.76,21253.03,LOSS
DonchianBreakout,85,51.8,42366.4,7835.3,34531.1,1.47,406.25,20009.53,PROFITABLE
BBMeanReversion,20,40.0,-5474.0,1846.82,-7320.82,0.57,-366.04,9307.62,LOSS
MACrossover,47,44.7,-17759.6,4375.56,-22135.16,0.62,-470.96,35718.15,LOSS
RSIDivergence,20,60.0,36379.0,1840.74,34538.26,3.12,1726.91,9907.87,PROFITABLE
MomentumVolumeBreakout,88,45.5,-12982.2,8094.65,-21076.85,0.85,-239.51,30936.79,LOSS
GoldSilverPairs,54,37.0,-12755.4,4963.46,-17718.86,0.85,-328.13,19125.57,LOSS
OrderFlowDelta,82,41.5,-967.4,7519.0,-8486.4,0.99,-103.49,32641.31,LOSS
TimeOfDaySeasonality,104,44.2,-14139.4,9653.89,-23793.29,0.85,-228.78,39924.43,LOSS
RSI2MeanReversion,110,46.4,29599.0,10182.54,19416.46,1.34,176.51,21624.46,PROFITABLE
CalendarSeasonality,41,48.8,966.2,3802.83,-2836.63,1.04,-69.19,20167.16,LOSS
TermStructure,134,42.5,-41773.0,12359.86,-54132.86,0.72,-403.98,74287.43,LOSS
SuperTrend+RSI,224,42.9,-9093.6,20655.59,-29749.19,0.96,-132.81,62854.18,LOSS
UTBot,44,36.4,-13583.4,4091.95,-17675.35,0.72,-401.71,25384.25,LOSS
SqueezeMomentum,23,39.1,4119.2,2131.03,1988.17,1.18,86.44,12882.79,PROFITABLE
SMC_OrderBlocks,111,37.8,-18369.6,10221.66,-28591.26,0.82,-257.58,41971.01,LOSS
