trade_id,strategy,instrument,contract,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target,quantity,lots,gross_pnl_inr,net_pnl_inr,pnl_points,slippage_pts,slippage_cost_inr,fees_inr,mfe_pts,mae_pts,hold_bars,hold_minutes,regime,time_of_day_bucket,exit_reason,is_ambiguous_bar,is_oos
BT_0001,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-01T10:52:00+05:30,85212.0,2026-09-01T11:27:00+05:30,85217.0,85218.0,85301.0,1,1,5.0,-56.85,5.0,2.0,2.0,61.85,52.5,19.0,7,35.0,BREAKOUT,09:00-11:00 (Opening Discovery),SL_HIT,False,False
BT_0002,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-01T11:32:00+05:30,85217.0,2026-09-01T11:42:00+05:30,85166.0,85167.0,85304.0,1,1,-51.0,-112.85,-51.0,2.0,2.0,61.85,10.0,54.0,2,10.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0003,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-01T11:52:00+05:30,85175.0,2026-09-01T12:02:00+05:30,85123.0,85124.0,85264.0,1,1,-52.0,-113.84,-52.0,2.0,2.0,61.84,6.0,57.5,2,10.0,TREND,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0004,OpeningRangeBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-01T13:07:00+05:30,84936.0,2026-09-01T13:37:00+05:30,84832.0,84891.0,84831.0,1,1,104.0,42.2,104.0,2.0,2.0,61.8,108.10000000000582,17.5,6,30.0,BREAKOUT,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
BT_0005,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T10:12:00+05:30,85137.0,2026-09-02T10:37:00+05:30,85248.0,85175.0,85249.0,1,1,111.0,49.15,111.0,2.0,2.0,61.85,129.6999999999971,10.30000000000291,5,25.0,BREAKOUT,09:00-11:00 (Opening Discovery),TARGET_HIT,False,False
BT_0006,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T11:42:00+05:30,85283.0,2026-09-02T12:02:00+05:30,85235.0,85236.0,85383.0,1,1,-48.0,-109.86,-48.0,2.0,2.0,61.86,15.10000000000582,56.0,4,20.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0007,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T12:12:00+05:30,85250.0,2026-09-02T12:27:00+05:30,85202.0,85203.0,85341.0,1,1,-48.0,-109.86,-48.0,2.0,2.0,61.86,10.89999999999418,55.0,3,15.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0008,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-02T12:32:00+05:30,85208.0,2026-09-02T12:42:00+05:30,85154.0,85155.0,85301.0,1,1,-54.0,-115.85,-54.0,2.0,2.0,61.85,9.60000000000582,66.5,2,10.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0009,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-03T09:37:00+05:30,85264.0,2026-09-03T10:02:00+05:30,85343.0,85287.0,85344.0,1,1,79.0,17.13,79.0,2.0,2.0,61.87,115.60000000000582,24.39999999999418,5,25.0,BREAKOUT,09:00-11:00 (Opening Discovery),TARGET_HIT,False,False
BT_0010,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-03T10:12:00+05:30,85378.0,2026-09-03T11:27:00+05:30,85402.0,85403.0,85483.0,1,1,24.0,-37.89,24.0,2.0,2.0,61.89,78.80000000000291,4.899999999994179,15,75.0,BREAKOUT,09:00-11:00 (Opening Discovery),SL_HIT,False,False
BT_0011,OpeningRangeBreakout,SILVERMIC,SILVERMIC,BUY,2026-09-03T11:37:00+05:30,85401.0,2026-09-03T11:57:00+05:30,85351.0,85352.0,85486.0,1,1,-50.0,-111.89,-50.0,2.0,2.0,61.89,11.89999999999418,67.0,4,20.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0012,OpeningRangeBreakout,SILVERMIC,SILVERMIC,SELL,2026-09-03T13:12:00+05:30,85111.0,2026-09-03T13:47:00+05:30,85001.0,85063.0,85000.0,1,1,110.0,48.18,110.0,2.0,2.0,61.82,112.0,16.80000000000291,7,35.0,BREAKOUT,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
