trade_id,strategy,instrument,contract,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target,quantity,lots,gross_pnl_inr,net_pnl_inr,pnl_points,slippage_pts,slippage_cost_inr,fees_inr,mfe_pts,mae_pts,hold_bars,hold_minutes,regime,time_of_day_bucket,exit_reason,is_ambiguous_bar,is_oos
BT_0001,TrendFollowing,SILVERMIC,SILVERMIC,SELL,2026-09-01T12:47:00+05:30,85000.0,2026-09-01T13:27:00+05:30,84866.0,84950.0,84865.0,1,1,134.0,72.19,134.0,2.0,2.0,61.81,148.0,7.0,8,40.0,TREND,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
BT_0002,TrendFollowing,SILVERMIC,SILVERMIC,SELL,2026-09-01T13:32:00+05:30,84857.0,2026-09-01T14:17:00+05:30,84898.0,84897.0,84712.0,1,1,-41.0,-102.79,-41.0,2.0,2.0,61.79,29.39999999999418,52.5,9,45.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0003,TrendFollowing,SILVERMIC,SILVERMIC,BUY,2026-09-02T09:27:00+05:30,84966.0,2026-09-02T09:52:00+05:30,85110.0,85020.0,85111.0,1,1,144.0,82.18,144.0,2.0,2.0,61.82,146.3000000000029,9.19999999999709,5,25.0,BREAKOUT,09:00-11:00 (Opening Discovery),TARGET_HIT,False,False
BT_0004,TrendFollowing,SILVERMIC,SILVERMIC,BUY,2026-09-02T09:57:00+05:30,85106.0,2026-09-02T10:37:00+05:30,85258.0,85162.0,85259.0,1,1,152.0,90.14,152.0,2.0,2.0,61.86,160.6999999999971,3.5,8,40.0,BREAKOUT,09:00-11:00 (Opening Discovery),TARGET_HIT,False,False
BT_0005,TrendFollowing,SILVERMIC,SILVERMIC,BUY,2026-09-02T10:47:00+05:30,85266.0,2026-09-02T11:42:00+05:30,85264.0,85265.0,85418.0,1,1,-2.0,-63.87,-2.0,2.0,2.0,61.87,71.19999999999709,7.5,11,55.0,BREAKOUT,09:00-11:00 (Opening Discovery),SL_HIT,False,False
BT_0006,TrendFollowing,SILVERMIC,SILVERMIC,SELL,2026-09-02T12:42:00+05:30,85171.0,2026-09-02T13:37:00+05:30,85160.0,85159.0,85044.0,1,1,11.0,-50.85,11.0,2.0,2.0,61.85,86.30000000000291,9.80000000000291,11,55.0,BREAKOUT,11:00-14:00 (European Pre-Market),SL_HIT,False,False
BT_0007,TrendFollowing,SILVERMIC,SILVERMIC,BUY,2026-09-02T14:12:00+05:30,85201.0,2026-09-03T09:57:00+05:30,85327.0,85256.0,85328.0,1,1,126.0,64.14,126.0,2.0,2.0,61.86,141.60000000000582,19.30000000000291,19,95.0,BREAKOUT,14:00-17:00 (European Active),TARGET_HIT,False,False
BT_0008,TrendFollowing,SILVERMIC,SILVERMIC,BUY,2026-09-03T10:07:00+05:30,85365.0,2026-09-03T11:37:00+05:30,85392.0,85393.0,85514.0,1,1,27.0,-34.89,27.0,2.0,2.0,61.89,91.80000000000291,6.899999999994179,18,90.0,BREAKOUT,09:00-11:00 (Opening Discovery),SL_HIT,False,False
BT_0009,TrendFollowing,SILVERMIC,SILVERMIC,SELL,2026-09-03T12:12:00+05:30,85315.0,2026-09-03T12:47:00+05:30,85189.0,85266.0,85188.0,1,1,126.0,64.14,126.0,2.0,2.0,61.86,131.6999999999971,11.5,7,35.0,BREAKOUT,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
BT_0010,TrendFollowing,SILVERMIC,SILVERMIC,SELL,2026-09-03T12:57:00+05:30,85162.0,2026-09-03T13:32:00+05:30,85025.0,85103.0,85024.0,1,1,137.0,75.17,137.0,2.0,2.0,61.83,148.10000000000582,19.5,7,35.0,TREND,11:00-14:00 (European Pre-Market),TARGET_HIT,False,False
